Station Name,Date (Local Standard Time),Air Temp. Min. (C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. ,Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Fine Fuel Moisture Code,Fine Fuel Moisture Code Source Flag,Fine Fuel Moisture Code Comment,Initial Spread Index,Initial Spread Index Source Flag,Initial Spread Index Comment
Jasper Warden,18-Oct-19,-2.1,ACTUAL,100,11.1,ACTUAL,100,4.1,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],6,AGGREGATED,100,159.8,AGGREGATED,100,82.2,COMPUTED,Computed for Fri Oct 18 13:00:00 MDT 2019,2.4,COMPUTED,Computed for Fri Oct 18 13:00:00 MDT 2019
Jasper Warden,19-Oct-19,-4.6,ACTUAL,100,8.9,ACTUAL,100,1.2,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],5.4,AGGREGATED,100,148.3,AGGREGATED,100,85.5,COMPUTED,Computed for Sat Oct 19 13:00:00 MDT 2019,3.2,COMPUTED,Computed for Sat Oct 19 13:00:00 MDT 2019
Jasper Warden,20-Oct-19,-6.5,ACTUAL,100,7.3,ACTUAL,100,0,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],4.5,AGGREGATED,100,127.7,AGGREGATED,100,86.3,COMPUTED,Computed for Sun Oct 20 13:00:00 MDT 2019,2.9,COMPUTED,Computed for Sun Oct 20 13:00:00 MDT 2019
Jasper Warden,21-Oct-19,-2.7,ACTUAL,100,7.3,ACTUAL,100,2.4,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],4.4,AGGREGATED,100,149.6,AGGREGATED,100,85.6,COMPUTED,Computed for Mon Oct 21 13:00:00 MDT 2019,2.8,COMPUTED,Computed for Mon Oct 21 13:00:00 MDT 2019
Jasper Warden,22-Oct-19,2,ACTUAL,100,8.3,ACTUAL,100,5.2,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],8.5,AGGREGATED,100,174.1,AGGREGATED,100,85.7,COMPUTED,Computed for Tue Oct 22 13:00:00 MDT 2019,3,COMPUTED,Computed for Tue Oct 22 13:00:00 MDT 2019
Jasper Warden,23-Oct-19,-5.1,ACTUAL,100,8.4,ACTUAL,100,1.4,AGGREGATED,100,0.2,AGGREGATED,using element [Precip. Weighing],5,AGGREGATED,100,162.3,AGGREGATED,100,87.9,COMPUTED,Computed for Wed Oct 23 13:00:00 MDT 2019,5.1,COMPUTED,Computed for Wed Oct 23 13:00:00 MDT 2019
Jasper Warden,24-Oct-19,0.3,ACTUAL,100,8.5,ACTUAL,100,4.8,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],7.4,AGGREGATED,100,168.1,AGGREGATED,100,86.6,COMPUTED,Computed for Thu Oct 24 13:00:00 MDT 2019,3.9,COMPUTED,Computed for Thu Oct 24 13:00:00 MDT 2019
Jasper Warden,25-Oct-19,-3.4,ACTUAL,100,10.8,ACTUAL,100,5.3,AGGREGATED,100,2.9,AGGREGATED,using element [Precip. Weighing],8,AGGREGATED,100,157.8,AGGREGATED,100,62.8,COMPUTED,Computed for Fri Oct 25 13:00:00 MDT 2019,1,COMPUTED,Computed for Fri Oct 25 13:00:00 MDT 2019
Jasper Warden,26-Oct-19,-4.7,ACTUAL,100,2.5,ACTUAL,100,-0.2,AGGREGATED,100,0.2,AGGREGATED,using element [Precip. Weighing],7.9,AGGREGATED,100,342.9,AGGREGATED,100,73.6,COMPUTED,Computed for Sat Oct 26 13:00:00 MDT 2019,1.3,COMPUTED,Computed for Sat Oct 26 13:00:00 MDT 2019
Jasper Warden,27-Oct-19,-5.7,ACTUAL,100,4.7,ACTUAL,100,-1.1,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],4.2,AGGREGATED,100,91.3,AGGREGATED,100,79,COMPUTED,Computed for Sun Oct 27 13:00:00 MDT 2019,1.1,COMPUTED,Computed for Sun Oct 27 13:00:00 MDT 2019
Jasper Warden,28-Oct-19,-13.1,ACTUAL,100,-1.4,ACTUAL,100,-5.9,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],9.6,AGGREGATED,100,,UNAVAILBLE,0,82.9,COMPUTED,Computed for Mon Oct 28 13:00:00 MDT 2019,3.1,COMPUTED,Computed for Mon Oct 28 13:00:00 MDT 2019
Jasper Warden,29-Oct-19,-19.7,ACTUAL,100,-0.2,ACTUAL,100,-10.1,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],6.2,AGGREGATED,100,102.9,AGGREGATED,54.2,84.8,COMPUTED,Computed for Tue Oct 29 13:00:00 MDT 2019,2.8,COMPUTED,Computed for Tue Oct 29 13:00:00 MDT 2019
Jasper Warden,30-Oct-19,-10.9,ACTUAL,100,3.3,ACTUAL,100,-4.1,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],6.8,AGGREGATED,100,,UNAVAILBLE,0,85.4,COMPUTED,Computed for Wed Oct 30 13:00:00 MDT 2019,2.8,COMPUTED,Computed for Wed Oct 30 13:00:00 MDT 2019
Jasper Warden,31-Oct-19,-5,ACTUAL,100,5.8,ACTUAL,100,0.1,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],6.5,AGGREGATED,100,149.3,AGGREGATED,45.8,85.4,COMPUTED,Computed for Thu Oct 31 13:00:00 MDT 2019,2.9,COMPUTED,Computed for Thu Oct 31 13:00:00 MDT 2019
Jasper Warden,01-Nov-19,-11.1,ACTUAL,100,4,ACTUAL,100,-2.7,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],7.3,AGGREGATED,100,151.8,AGGREGATED,100,85.1,COMPUTED,Computed for Fri Nov 01 13:00:00 MDT 2019,2.6,COMPUTED,Computed for Fri Nov 01 13:00:00 MDT 2019
Jasper Warden,02-Nov-19,-0.3,ACTUAL,100,4.2,ACTUAL,100,2,AGGREGATED,100,0.8,AGGREGATED,using element [Precip. Weighing],6.4,AGGREGATED,100,154.9,AGGREGATED,100,79.2,COMPUTED,Computed for Sat Nov 02 13:00:00 MDT 2019,1.4,COMPUTED,Computed for Sat Nov 02 13:00:00 MDT 2019
Jasper Warden,03-Nov-19,-1.9,ACTUAL,100,2.9,ACTUAL,100,0.6,AGGREGATED,100,2.8,AGGREGATED,using element [Precip. Weighing],1.7,AGGREGATED,100,145.2,AGGREGATED,100,53.1,COMPUTED,Computed for Sun Nov 03 13:00:00 MST 2019,0.2,COMPUTED,Computed for Sun Nov 03 13:00:00 MST 2019
Jasper Warden,04-Nov-19,-0.4,ACTUAL,100,3.3,ACTUAL,100,0.9,AGGREGATED,100,2.5,AGGREGATED,using element [Precip. Weighing],1.5,AGGREGATED,100,108.7,AGGREGATED,100,35,COMPUTED,Computed for Mon Nov 04 13:00:00 MST 2019,0,COMPUTED,Computed for Mon Nov 04 13:00:00 MST 2019
Jasper Warden,05-Nov-19,-9.2,ACTUAL,100,1.5,ACTUAL,100,-3.1,AGGREGATED,100,1.6,AGGREGATED,using element [Precip. Weighing],14.2,AGGREGATED,100,8,AGGREGATED,100,37.5,COMPUTED,Computed for Tue Nov 05 13:00:00 MST 2019,0,COMPUTED,Computed for Tue Nov 05 13:00:00 MST 2019
Jasper Warden,06-Nov-19,-16.2,ACTUAL,100,-1.2,ACTUAL,100,-9.6,AGGREGATED,100,0.5,AGGREGATED,using element [Precip. Weighing],5.7,AGGREGATED,100,140.9,AGGREGATED,100,51,COMPUTED,Computed for Wed Nov 06 13:00:00 MST 2019,0.2,COMPUTED,Computed for Wed Nov 06 13:00:00 MST 2019
Jasper Warden,07-Nov-19,-11.6,ACTUAL,100,3.8,ACTUAL,100,-3.9,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],6,AGGREGATED,100,151.7,AGGREGATED,100,62.8,COMPUTED,Computed for Thu Nov 07 13:00:00 MST 2019,0.7,COMPUTED,Computed for Thu Nov 07 13:00:00 MST 2019
Jasper Warden,08-Nov-19,2.1,ACTUAL,100,6.4,ACTUAL,100,3.3,AGGREGATED,100,15.8,AGGREGATED,using element [Precip. Weighing],5.9,AGGREGATED,100,150.3,AGGREGATED,100,34.2,COMPUTED,Computed for Fri Nov 08 13:00:00 MST 2019,0,COMPUTED,Computed for Fri Nov 08 13:00:00 MST 2019
Jasper Warden,09-Nov-19,-9.1,ACTUAL,100,2.5,ACTUAL,100,-4.5,AGGREGATED,100,1.7,AGGREGATED,using element [Precip. Weighing],14.5,AGGREGATED,100,8.1,AGGREGATED,100,20.9,COMPUTED,Computed for Sat Nov 09 13:00:00 MST 2019,0,COMPUTED,Computed for Sat Nov 09 13:00:00 MST 2019
Jasper Warden,10-Nov-19,-17.3,ACTUAL,100,-6.2,ACTUAL,100,-11.9,AGGREGATED,100,0.2,AGGREGATED,using element [Precip. Weighing],11,AGGREGATED,100,24.2,AGGREGATED,100,33.2,COMPUTED,Computed for Sun Nov 10 13:00:00 MST 2019,0,COMPUTED,Computed for Sun Nov 10 13:00:00 MST 2019
Jasper Warden,11-Nov-19,-19.7,ACTUAL,100,-1.5,ACTUAL,100,-10.7,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],6.7,AGGREGATED,100,158.4,AGGREGATED,100,46.2,COMPUTED,Computed for Mon Nov 11 13:00:00 MST 2019,0.1,COMPUTED,Computed for Mon Nov 11 13:00:00 MST 2019
Jasper Warden,12-Nov-19,-3.2,ACTUAL,100,1.7,ACTUAL,100,-0.9,AGGREGATED,100,0.4,AGGREGATED,using element [Precip. Weighing],5.8,AGGREGATED,100,145.3,AGGREGATED,100,53.9,COMPUTED,Computed for Tue Nov 12 13:00:00 MST 2019,0.3,COMPUTED,Computed for Tue Nov 12 13:00:00 MST 2019
Jasper Warden,13-Nov-19,-2.2,ACTUAL,100,5.6,ACTUAL,100,1,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],6,AGGREGATED,100,161.2,AGGREGATED,100,63.6,COMPUTED,Computed for Wed Nov 13 13:00:00 MST 2019,0.6,COMPUTED,Computed for Wed Nov 13 13:00:00 MST 2019
Jasper Warden,14-Nov-19,-5.4,ACTUAL,100,6.8,ACTUAL,100,-0.3,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],4.9,AGGREGATED,100,153.8,AGGREGATED,100,70.7,COMPUTED,Computed for Thu Nov 14 13:00:00 MST 2019,0.7,COMPUTED,Computed for Thu Nov 14 13:00:00 MST 2019
Jasper Warden,15-Nov-19,-3.5,ACTUAL,100,7.1,ACTUAL,100,1.9,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],5.7,AGGREGATED,100,158.3,AGGREGATED,100,77.2,COMPUTED,Computed for Fri Nov 15 13:00:00 MST 2019,1.4,COMPUTED,Computed for Fri Nov 15 13:00:00 MST 2019
